id.tender;id.lot;date;id.procurer;id.bidder;cpv;good;procedure;threshold;count;expected.value;round.0;round.3;quantity;measurement
UA-2016-01-12-000128-a;UA-2016-01-12-000128-a-L1;12.01.2016;24604168;25394112;30197630-1 Папір для друку;Папір А4 80г/м2 500 арк;Допорогова закупівля;Допороги;4;13400;12576;12576;200;пачок
UA-2016-01-14-000106-a;UA-2016-01-14-000106-a-L1;14.01.2016;35198441;25394112;30197620-8 Папір для письма;"1)	папір офісний: формату А4  –  75 пачок (по 500 аркушів у пачці, по 5 пачок в одній коробці, що відповідає вимогам діючих стандартів якості);
2)	Для використання в  копіювальній техніці та принтерах (в т.ч. струменевих);
3)	Без запаху;
4)	Без вмісту шкідливих хімічних речовин (хлор, важкі метали);
5)	Доставка за адресою: 01135, м. Київ,  вул. Павловська, 26/41 здійснюється учасником, її вартість включається в ціну пропозиції;
6)	Папір має бути упакований у вологостійку упаковку по 500 аркушів у пачці;
7)	Формат паперу (мм) – А4 (210х297);
8)	Щільність паперу – 80 г/м2  
9)	Білизна, СІЕ – не менш ніж 146;
10)	Яскравість – неменше 95%;
11)	Товщина – 100 -110 мкм;
12)	Гладкість (за Бендтсеном) – 160-220;
13)	Непрозорість – не менш ніж 92%;
14)	Вміст вологи, % – не більше 4,5;
15)	Відбілювання без використання хлору та важких металів;
16)	Виробник має бути акредитований за стандартами ISO14001.";Допорогова закупівля;Допороги;5;4950;4837;4600;75;штуки
UA-2016-01-14-000146-a;UA-2016-01-14-000146-a-L1;14.01.2016;35210739;25394112;22990000-6 Газетний папір, папір ручного виготовлення та інший некрейдований папір або картон для графічних цілей;«Вироби канцелярські, паперові (папір А4)»;Допорогова закупівля;Допороги;3;78942;76747;74379;1180;набір
UA-2016-01-14-000080-a;UA-2016-01-14-000080-a-L1;14.01.2016;9315357;25394112;22992000-0 Папір або картон ручного виготовлення;Папір А-4;Допорогова закупівля;Допороги;3;95635;92819;79200;1172;пачок
UA-2016-01-19-000001-a;UA-2016-01-19-000001-a-L1;19.01.2016;21085555;25394112;30197630-1 Папір для друку;папір офісний для друку та ксерографії формату А4 в пачках;Допорогова закупівля;Допороги;4;720;698;644;10;штуки
UA-2016-01-19-000083-b;UA-2016-01-19-000083-b-L1;19.01.2016;37397221;25394112;30197630-1 Папір для друку;Папір офісний для друкуючих пристроїв А4 80 г/м2 500 аркушів, білий;Допорогова закупівля;Допороги;8;1000;864;806;13;штуки
UA-2016-01-21-000049-b;UA-2016-01-21-000049-b-L1;21.01.2016;4062216;35659771;30197600-2 Оброблені папір і картон;Папір офісний для використання в копіювальній техніці та принтерах, білий, щільність 80 гр./м. кв., формат А4, в пачці по 500 листів;Допорогова закупівля;Допороги;4;70000;65400;62580;1000;штуки
UA-2016-01-21-000125-b;UA-2016-01-21-000125-b-L1;21.01.2016;20089290;32490245;30197630-1 Папір для друку;Вироби канцелярські паперові (папір А4, 500 арк.,  80г/м2);Допорогова закупівля;Допороги;6;7000;6700;6500;100;штуки
UA-2016-01-25-000146-a;UA-2016-01-25-000146-a-L1;25.01.2016;3188272;37071386;30199000-0 Паперове канцелярське приладдя та інші паперові вироби;Папір ксероксний;Допорогова закупівля;Допороги;7;24000;19872;19870;300;упаковка
UA-2016-01-26-000128-b;UA-2016-01-26-000128-b-L1;26.01.2016;24587955;32490244;30197630-1 Папір для друку;1. ОФИСНАЯ БУМАГА MAESTRO STANDARD А4 Количество в упаковке: 500, плотность (толщина, г/м2):80 г/м2;Допорогова закупівля;Допороги;9;2640;2492;2492;38;штуки
UA-2016-01-26-000008;UA-2016-01-26-000008-L1;26.01.2016;3341339;25394112;30197000-6 Дрібне канцелярське приладдя;Папір офісний формату А4;Допорогова закупівля;Допороги;5;4500;4250;4103;60;пачок
UA-2016-01-26-000268-a;UA-2016-01-26-000268-a-L1;26.01.2016;26351530;40153746;30197630-1 Папір для друку;Папір офісний А-4 (щільність - 80 г/м.кв., кількість аркушів в упаковці - 500) для використання в копіювальній техниці та принтерах;Допорогова закупівля;Допороги;6;20000;17755;17555;265;пачок
UA-2016-01-27-000175-b;UA-2016-01-27-000175-b-L1;27.01.2016;2011456;30126040;30197600-2 Оброблені папір і картон;"Папір офісний для оргтехніки білий, формату А4 ( р.210х297мм.), щільністю 80г/м2, класу ""В"", 500 листів у пачці, ТУ У 21.1-32816241-001:2005";Допорогова закупівля;Допороги;2;2350;2310;2258;35;пачок
UA-2016-01-27-000289-b;UA-2016-01-27-000289-b-L1;27.01.2016;9302607;25394112;30197630-1 Папір для друку;Папір ксероксний А4;Допорогова закупівля;Допороги;3;272000;268080;259920;4000;пачок
